tag	original_evidence_count	original_status	runtime_supplement	final_status
bluebubbles-action-catalog	1	完整		完整
bluebubbles-status-audit	1	完整		完整
bonjour-advertise	1	完整		完整
bonjour-error-formatting	1	完整		完整
bonjour-gateway-discovery	1	完整		完整
bonjour-rejection-noise-filter	1	完整		完整
bonjour-watchdog-reannounce	1	完整		完整
boot-check	1	完整		完整
bootstrap-context-injection	1	完整		完整
bootstrap-context-trimming	1	完整		完整
bootstrap-hook-extension	1	完整		完整
brew-path-resolution	1	完整		完整
browser-config-contract	1	完整		完整
browser-control-server-bootstrap	1	完整		完整
browser-origin-allowlist-check	1	完整		完整
browser-request-rpc-routing	1	完整		完整
browser-tool-runtime	1	完整		完整
browser-tool-schema	1	完整		完整
bundled-plugin-root-resolution	1	完整		完整
bundled-skill-allowlist	1	完整		完整
bundled-skills-dir-resolution	1	完整		完整
bundled-skills-discovery	1	完整		完整
cache-and-timeout-guards	1	完整		完整
cache-trace-diagnostics	1	完整		完整
cache-ttl-context-pruning	1	完整		完整
cache-ttl-trigger	1	完整		完整
callback-interface	1	完整		完整
canvas-host-url-resolution	1	完整		完整
canvas-tooling	1	完整		完整
catalog-cache-fallback	1	完整		完整
catalog-cache-resilience	1	完整		完整
cdp-bridge-management	1	完整		完整
channel-access-onboarding-flow	1	完整		完整
channel-account-capability-resolution	1	完整		完整
channel-account-status-snapshot	1	完整		完整
channel-action-dispatch	1	完整		完整
channel-activity-tracking	1	完整		完整
channel-adapter-capabilities	1	完整		完整
channel-adapter-contracts	1	完整		完整
channel-aware-tools	1	完整		完整
channel-capability-discovery	1	完整		完整
channel-capability-registry	1	完整		完整
channel-category-permission-management	1	完整		完整
channel-common-validation-primitives	1	完整		完整
channel-config-match-resolution	1	完整		完整
channel-config-schema-wrapper	1	完整		完整
channel-config-write-helpers	1	完整		完整
channel-config-write-planner	1	完整		完整
channel-core-type-system	1	完整		完整
channel-group-mention-and-tool-policy	1	完整		完整
channel-issue-aggregation	1	完整		完整
channel-log-helpers	1	完整		完整
channel-media-size-policy	1	完整		完整
channel-metadata-stripping	1	完整		完整
channel-onboarding-type-contracts	1	完整		完整
channel-plugin-catalog	1	完整		完整
channel-plugin-helpers	1	完整		完整
channel-plugin-object-contract	1	完整		完整
channel-plugin-registry-entry	1	部分	docs/backend-trace/files/src/channels/plugins/load.ts.md	完整
channel-plugin-types-public-surface	1	部分	docs/backend-trace/files/src/channels/plugins/message-actions.ts.md	完整
channel-registry-and-aliases	1	部分	docs/backend-trace/files/src/channels/plugins/index.ts.md	完整
channel-runtime-lifecycle-manager	1	完整		完整
channel-specific-retry-policy	1	完整		完整
channel-startup	1	完整		完整
channel-status-summary	1	完整		完整
channel-target-contract	1	完整		完整
channel-tool-hints	1	完整		完整
channels	5	完整		完整
channels-config-contract	1	完整		完整
channels-logout-rpc	1	完整		完整
channels-protocol-schemas	1	完整		完整
channels-schema-aggregation	1	完整		完整
channels-status-rpc	1	完整		完整
chat-envelope-sanitization	1	完整		完整
chat-image-attachment-ingest	1	完整		完整
chat-run-abort-control	1	完整		完整
chat-run-timeout-cleanup	1	完整		完整
chat-send-abort-inject	1	完整		完整
chat-stop-command-handling	1	完整		完整
chat-stream-bridge	1	完整		完整
chat-transcript-append	1	完整		完整
chat-type-normalization	1	完整		完整
chunking	1	完整		完整
citation-mode-control	1	完整		完整
claude-usage-fetcher	1	完整		完整
cli-agent-runtime	1	完整		完整
cli-discovery-under-minimal-env	1	完整		完整
cli-output-normalization	1	完整		完整
cli-run-serialization	1	完整		完整
cli-runner-compatibility	1	完整		完整
cli-session-tracking	1	完整		完整
client-tool-delegation	1	完整		完整
clipboard-cross-platform	1	完整		完整
cloudflare-gateway-provider	1	完整		完整
codex-usage-fetcher	1	完整		完整
collision-avoidance	1	完整		完整
compaction-coordination	1	完整		完整
compaction-driven-rotation	1	完整		完整
compaction-failure-recovery-signal	1	完整		完整
compaction-reserve-floor	1	完整		完整
compaction-retry-sync	1	完整		完整
compaction-runtime-registry	1	完整		完整
compaction-safeguard-extension	1	完整		完整
compaction-safeguard-runtime	1	完整		完整
compatibility	1	完整		完整
concurrency-safety	1	完整		完整
config	4	完整		完整
config-apply-and-patch	1	完整		完整
config-apply-and-restart-sentinel	1	完整		完整
config-cache-ttl-helpers	1	完整		完整
config-default-injection	1	完整		完整
config-env-interpolation	1	完整		完整
config-env-var-collection	1	完整		完整
config-field-metadata-catalog	1	完整		完整
config-fingerprint	1	完整		完整
config-hash-reconcile	1	完整		完整
config-load-validate-write-pipeline	1	完整		完整
config-module-public-surface	1	完整		完整
config-path-mutation-helpers	1	完整		完整
config-path-normalization	1	完整		完整
config-protocol-schemas	1	完整		完整
config-restart-escalation	1	完整		完整
config-rpc-with-optimistic-lock	1	完整		完整
config-schema-and-ui-metadata-service	1	部分	docs/backend-trace/files/src/config/validation.ts.md	完整
config-section-merge-helpers	1	完整		完整
config-snapshot-redaction-and-restore	1	完整		完整
config-test-isolation-helpers	1	完整		完整
config-types-public-surface	1	部分	docs/backend-trace/files/src/config/io.ts.md	完整
config-ui-hints-generation	1	完整		完整
config-update-logging	1	完整		完整
config-validation-pipeline	1	完整		完整
connect-method-guard	1	完整		完整
connection-resolution	1	完整		完整
container-metadata-tracking	1	部分	docs/backend-trace/files/src/agents/sandbox/manage.ts.md	完整
container-reuse-safety	1	完整		完整
context-compaction	1	完整		完整
context-fallback-default	1	完整		完整
context-overflow-mitigation	1	完整		完整
context-overflow-recovery	1	完整		完整
context-pruning-algorithm	1	完整		完整
context-pruning-config-schema	1	完整		完整
context-pruning-extension-entry	1	完整		完整
context-pruning-hook	1	完整		完整
context-pruning-runtime	1	完整		完整
context-pruning-runtime-registry	1	完整		完整
context-recovery	1	完整		完整
context-window-guardrail	1	完整		完整
context-window-lookup	1	完整		完整
control-command-gating	1	完整		完整
control-ui-asset-resolution	1	完整		完整
control-ui-auto-build	1	完整		完整
control-ui-avatar-endpoint	1	完整		完整
control-ui-http-serving	1	完整		完整
control-ui-path-normalization	1	完整		完整
conversation-label-derivation	1	完整		完整
cooldown-aware-provider-skip	1	完整		完整
cooldown-aware-selection	1	完整		完整
cooldown-failover	1	完整		完整
copilot-usage-fetcher	1	完整		完整
core-config-base-contracts	1	完整		完整
core-schema-primitives	1	完整		完整
crash-recovery-resume	1	完整		完整
credential-bridge	1	完整		完整
credential-cache	1	完整		完整
credential-type-system	1	部分	docs/backend-trace/files/src/agents/auth-profiles/profiles.ts.md	完整
cron	4	完整		完整
cron-concurrency-lock	1	完整		完整
cron-config-contract	1	完整		完整
cron-delivery-filtering	1	完整		完整
cron-delivery-inference	1	完整		完整
cron-delivery-policy	1	完整		完整
cron-delivery-target-resolution	1	完整		完整
cron-domain-model	1	部分	docs/backend-trace/files/src/cron/service.ts.md	完整
cron-input-normalization	1	完整		完整
cron-input-validation	1	完整		完整
cron-isolated-entry	1	完整		完整
cron-isolated-runner	1	完整		完整
cron-job-lifecycle	1	完整		完整
cron-method-handlers	1	完整		完整
cron-model-fallback	1	完整		完整
cron-next-run	1	完整		完整
cron-payload-migration	1	完整		完整
cron-persistence	1	完整		完整
cron-persistence-runtime	1	完整		完整
cron-protocol-schemas	1	完整		完整
cron-run-audit-log	1	完整		完整
cron-service-normalization	1	完整		完整
cron-service-state	1	完整		完整
cron-session-bootstrap	1	完整		完整
cron-session-retention	1	完整		完整
cron-store-migration	1	完整		完整
cron-summary-delivery	1	完整		完整
cron-time-context	1	完整		完整
cron-time-parse	1	完整		完整
cron-timer-engine	1	完整		完整
cron-tool-runtime	1	完整		完整
cross-agent-history-policy	1	完整		完整
cross-agent-spawn-authorization	1	完整		完整
cross-agent-status-policy	1	完整		完整
cross-channel-message-action-dispatch	1	完整		完整
cross-channel-safety	1	完整		完整
cross-channel-session-key-routing	1	完整		完整
cross-channel-target-abstraction	1	完整		完整
cross-context-guardrail	1	完整		完整
cross-context-origin-marker	1	完整		完整
cross-platform-port-inspection	1	完整		完整
cross-process-locking	1	完整		完整
cross-session-message-routing	1	完整		完整
dangerous-node-command-gating	1	完整		完整
datetime-formatting	1	完整		完整
dedupe-cache	1	完整		完整
delivery-context-fallback	1	完整		完整
delivery-output-format	1	完整		完整
delivery-result-normalization	1	完整		完整
delivery-target-resolution	1	完整		完整
device-auth	1	完整		完整
device-auth-payload-canonicalization	1	完整		完整
device-auth-token-storage	1	完整		完整
device-control-and-capture	1	完整		完整
device-identity-crypto	1	完整		完整
device-live-image-probe	1	完整		完整
device-pairing-and-token-rpc	1	完整		完整
device-pairing-enforcement	1	完整		完整
device-pairing-protocol-schemas	1	完整		完整
device-pairing-workflow	1	完整		完整
device-scoped-auth-token	1	完整		完整
diagnostic-event-bus	1	完整		完整
diagnostic-flag-gating	1	完整		完整
diagnostic-usability	1	完整		完整
direct-vs-gateway-delivery	1	完整		完整
directory-backed-target-resolution	1	完整		完整
directory-from-config-resolvers	1	完整		完整
directory-query-cache	1	完整		完整
dirty-incremental-sync	1	完整		完整
discord-account-resolution	1	完整		完整
discord-action-dispatch	1	完整		完整
discord-action-dispatcher	1	完整		完整
discord-agent-interactive-components	1	完整		完整
discord-allowlist-policy-engine	1	完整		完整
discord-api-client-wrapper	1	完整		完整
discord-channel-allowlist-resolution	1	完整		完整
discord-channel-management-apis	1	完整		完整
discord-channel-permission-query	1	完整		完整
discord-config-contract	1	完整		完整
discord-connectivity-probe	1	完整		完整
discord-emoji-sticker-apis	1	完整		完整
discord-event-listener-layer	1	完整		完整
discord-exec-approval-interaction	1	完整		完整
discord-gateway-event-logging	1	完整		完整
discord-gateway-lifecycle-utils	1	完整		完整
discord-gateway-registry	1	完整		完整
discord-guild-admin-actions	1	完整		完整
discord-guild-admin-tooling	1	完整		完整
discord-guild-management-apis	1	完整		完整
discord-live-directory-provider	1	完整		完整
discord-message-action-adapter	1	完整		完整
discord-message-chunking	1	完整		完整
discord-message-context-utils	1	完整		完整
discord-message-handler-entry	1	完整		完整
discord-message-management-apis	1	完整		完整
discord-message-preflight	1	完整		完整
discord-message-processing-pipeline	1	完整		完整
discord-messaging-tooling	1	完整		完整
discord-moderation-tooling	1	完整		完整
discord-module-public-entry	1	部分	docs/backend-trace/files/src/discord/monitor/provider.ts.md	完整
discord-monitor-format-helpers	1	完整		完整
discord-monitor-public-surface	1	完整		完整
discord-native-command-flow	1	完整		完整
discord-onboarding-adapter	1	完整		完整
discord-outbound-adapter	1	完整		完整
discord-outbound-send-core	1	完整		完整
discord-permission-audit	1	完整		完整
discord-pluralkit-integration	1	完整		完整
discord-preflight-type-contract	1	完整		完整
discord-presence-cache	1	完整		完整
discord-presence-control	1	完整		完整
discord-provider-monitor-loop	1	完整		完整
discord-reaction-apis	1	完整		完整
discord-reply-context-derivation	1	完整		完整
discord-reply-delivery	1	完整		完整
discord-send-public-surface	1	完整		完整
discord-send-shared-utils	1	完整		完整
discord-send-type-contracts	1	完整		完整
discord-sender-identity-resolution	1	完整		完整
discord-status-audit	1	完整		完整
discord-system-event-parsing	1	完整		完整
discord-target-normalization	1	完整		完整
discord-target-parser	1	完整		完整
discord-threading-and-reply-planning	1	完整		完整
discord-token-resolution	1	完整		完整
discord-typing-signal	1	完整		完整
discord-user-allowlist-resolution	1	完整		完整
discovery-helper-resolution	1	完整		完整
distribution-mode-compatibility	1	完整		完整
dm-history-limit	1	完整		完整
docker-adapter	1	完整		完整
docs-context-discovery	1	完整		完整
download-install-path	1	完整		完整
duplicate-suppression	1	完整		完整
duration-formatting	1	完整		完整
dynamic-model-discovery	1	完整		完整
dynamic-model-discovery-with-fallback	1	完整		完整
eligibility-diagnostics	1	完整		完整
embedded-agent-api	1	完整		完整
embedded-attempt-type-contract	1	部分	docs/backend-trace/files/src/agents/pi-embedded-runner/run/attempt.ts.md	完整
embedded-extension-loading	1	完整		完整
embedded-helper-types	1	部分	docs/backend-trace/files/src/agents/pi-embedded-helpers.ts.md	完整
embedded-run-params-contract	1	完整		完整
embedded-runner-core-loop	1	完整		完整
embedded-runner-logging	1	完整		完整
embedded-runner-utils	1	完整		完整
embedded-runtime-utilities	1	完整		完整
embedding-cache-key	1	完整		完整
embedding-input-limit-enforcement	1	完整		完整
embedding-model-limit-resolution	1	完整		完整
embedding-provider-routing	1	完整		完整
embedding-text-splitting-utility	1	完整		完整
env-bootstrap	1	完整		完整
env-normalization	1	完整		完整
env-option-audit-log	1	完整		完整
ephemeral-system-event-queue	1	完整		完整
error-backoff	1	完整		完整
error-message-dedup	1	完整		完整
error-normalization	2	完整		完整
event-and-asset-operations	1	完整		完整
event-routing	1	完整		完整
event-scope-based-filtering	1	完整		完整
every-anchor	1	完整		完整
exec-approval-config-contract	1	完整		完整
exec-approval-notification-forwarding	1	完整		完整
exec-approval-policy-engine	1	完整		完整
exec-approval-request-resolve-rpc	1	完整		完整
exec-approval-socket-protocol	1	完整		完整
exec-approval-state-machine	1	完整		完整
exec-approvals-config-rpc	1	完整		完整
exec-approvals-node-bridge	1	完整		完整
exec-approvals-protocol-schemas	1	完整		完整
exec-host-socket-client	1	完整		完整
exec-input-safety-check	1	完整		完整
exec-system-event-bridge	1	完整		完整
explicit-target-safety	1	完整		完整
external-cli-oauth-sync	1	完整		完整
external-cli-sync-policy	1	部分	docs/backend-trace/files/src/agents/auth-profiles/external-cli-sync.ts.md	完整
external-credential-bridge	1	完整		完整
failover-classification	1	完整		完整
failover-error-model	1	完整		完整
failover-reason-classification	1	完整		完整
failover-retry	1	完整		完整
failure-reason-backoff	1	完整		完整
fault-tolerant-resume	1	完整		完整
fault-tolerant-state-load	1	部分	docs/backend-trace/files/src/agents/sandbox/manage.ts.md	完整
fetch-compat-wrapper	1	完整		完整
file-tools	1	完整		完整
forward-compat-models	1	完整		完整
fts-bootstrap	1	完整		完整
fts-query-builder	1	完整		完整
fuzzy-line-matching	1	完整		完整
gateway	8	完整		完整
gateway-admin-tool	1	完整		完整
gateway-auth-modes	1	完整		完整
gateway-bind-host-resolution	1	完整		完整
gateway-bind-locking	1	完整		完整
gateway-client-identity-enum	1	完整		完整
gateway-command-lane-concurrency	1	完整		完整
gateway-config-contract	1	完整		完整
gateway-config-hot-reload	1	完整		完整
gateway-connectivity-latency-check	1	完整		完整
gateway-dedupe-state	1	完整		完整
gateway-discovery-runtime	1	完整		完整
gateway-e2e-fixtures	1	完整		完整
gateway-error-formatting	1	完整		完整
gateway-event-broadcast	1	完整		完整
gateway-event-stream	1	完整		完整
gateway-graceful-shutdown	1	完整		完整
gateway-health-snapshot	1	完整		完整
gateway-hot-reload	1	完整		完整
gateway-http-entry	1	完整		完整
gateway-integration-test-harness	1	完整		完整
gateway-maintenance-timers	1	完整		完整
gateway-method-context-types	1	部分	docs/backend-trace/files/src/gateway/server-methods.ts.md	完整
gateway-port-conflict-hints	1	完整		完整
gateway-port-default-derivation	1	完整		完整
gateway-probe-diagnostics	1	完整		完整
gateway-protocol-validation-hub	1	部分	docs/backend-trace/files/src/gateway/server/ws-connection/message-handler.ts.md	完整
gateway-public-api	1	完整		完整
gateway-restart-control-plane	1	完整		完整
gateway-rpc-adapter	1	完整		完整
gateway-rpc-client	1	完整		完整
gateway-runtime-bootstrap	1	完整		完整
gateway-runtime-config	1	完整		完整
gateway-runtime-constants	1	完整		完整
gateway-security-guardrail	1	完整		完整
gateway-send-summary	1	完整		完整
gateway-sidecars	1	完整		完整
gateway-single-instance-lock	1	完整		完整
gateway-snapshot-schema	1	完整		完整
gateway-startup-observability	1	完整		完整
gateway-test-fixtures	1	完整		完整
gateway-test-helper-barrel	1	完整		完整
gateway-test-mocking-infra	1	完整		完整
gateway-tls-runtime	1	完整		完整
gateway-tls-runtime-bootstrap	1	完整		完整
gateway-update-orchestrator	1	完整		完整
gateway-update-run-rpc	1	完整		完整
gateway-ws-client	1	完整		完整
gateway-ws-frame-contract	1	完整		完整
gemini-embedding-batch-execution	1	完整		完整
gemini-embedding-provider-adapter	1	完整		完整
gemini-tooling-stability	1	完整		完整
gemini-usage-fetcher	1	完整		完整
generic-retry-engine	1	完整		完整
global-install-update-path	1	完整		完整
global-plugin-hook-runner	1	完整		完整
global-unhandled-rejection-policy	1	完整		完整
google-provider-compat	1	完整		完整
google-provider-transcript-hygiene	1	完整		完整
google-turn-order-compat	1	完整		完整
googlechat-config-contract	1	完整		完整
graceful-missing-bundled-dir	1	完整		完整
group-policy	1	完整		完整
group-policy-and-tool-policy-resolution	1	完整		完整
group-session-key-resolution	1	完整		完整
handler-contract	1	完整		完整
header-shape-fingerprint	1	完整		完整
health-status-rpc	1	完整		完整
heartbeat-chat-visibility-control	1	完整		完整
heartbeat-dedup-and-visibility	1	完整		完整
heartbeat-delivery-policy	1	完整		完整
heartbeat-event-stream	1	完整		完整
heartbeat-immediate-wake-coalescing	1	完整		完整
heartbeat-notify	1	完整		完整
heartbeat-quiet-hours	1	完整		完整
heartbeat-scheduler	1	完整		完整
heartbeat-skip	1	完整		完整
heartbeat-target-policy	1	完整		完整
heartbeat-visibility-config	1	完整		完整
history-image-rehydration	1	完整		完整
history-payload-budgeting	1	完整		完整
history-pruning	1	完整		完整
history-pruning-with-summary	1	完整		完整
home-dir-resolution	1	完整		完整
hook-action-validation	1	完整		完整
hook-agent-dispatch	1	完整		完整
hooks-agent-policy-guard	1	完整		完整
hooks-config-contract	1	完整		完整
hooks-ingress	1	完整		完整
hooks-ingress-config	1	完整		完整
hooks-mapping-engine	1	完整		完整
hooks-payload-normalization	1	完整		完整
hooks-runtime	1	完整		完整
hooks-runtime-validation	1	完整		完整
html-markdown-normalization	1	完整		完整
http-agent-session-resolution	1	完整		完整
http-hooks-bridge	1	完整		完整
http-response-primitives	1	完整		完整
http-tool-invocation	1	完整		完整
human-delay-policy	1	完整		完整
human-readable-port-diagnostics	1	完整		完整
human-readable-session-key	1	完整		完整
hybrid-ranking	1	完整		完整
hybrid-search-foundation	1	完整		完整
identity-markdown-parse	1	完整		完整
identity-placeholder-filter	1	完整		完整
idle-expiration-policy	1	完整		完整
image-block-sanitization	1	完整		完整
image-model-fallback	1	完整		完整
image-safety	1	完整		完整
image-tool-helper-primitives	1	完整		完整
image-tool-runtime	1	完整		完整
image-understanding-provider	1	完整		完整
imessage-config-contract	1	完整		完整
imessage-onboarding-adapter	1	完整		完整
imessage-outbound-adapter	1	完整		完整
imessage-target-normalization	1	完整		完整
implicit-explicit-provider-merge	1	完整		完整
implicit-provider-inference	1	完整		完整
inbound-session-route-recording	1	完整		完整
incremental-indexing	1	完整		完整
infra	1	完整		完整
inline-buttons-policy-enforcement	1	完整		完整
install-preferences-resolution	1	完整		完整
install-security-warning	1	完整		完整
installer-suggestion-selection	1	完整		完整
interactive-shell-control	1	完整		完整
interactive-terminal-io	1	完整		完整
invocation-policy-control	1	完整		完整
irc-config-contract	1	完整		完整
irc-config-ui-metadata	1	完整		完整
job-execution	1	完整		完整
job-ttl-reaping	1	完整		完整
json-file-io-helper	1	完整		完整
json-merge-patch-support	1	完整		完整
jsonl-recovery	1	完整		完整
keychain-file-fallback	1	完整		完整
keyword-search	1	完整		完整
lane-routing	1	完整		完整
lane-serialization	1	完整		完整
last-good-tracking	1	完整		完整
lazy-channel-plugin-loader	1	完整		完整
lazy-model-metadata-cache	1	完整		完整
legacy-auth-migration	1	完整		完整
legacy-auth-migration-entry	1	完整		完整
legacy-compat	1	完整		完整
legacy-config-detection-and-migrate	1	完整		完整
legacy-config-migration-entry	1	完整		完整
legacy-config-migration-rules	3	完整		完整
legacy-config-rule-set	1	完整		完整
legacy-delivery-compat	1	完整		完整
legacy-migration-pipeline-registry	1	完整		完整
legacy-migration-shared-helpers	1	完整		完整
legacy-profile-migration	1	完整		完整
legacy-session-field-compat	1	完整		完整
legacy-state-auto-migration	1	完整		完整
legacy-state-migration-fs-primitives	1	完整		完整
lifecycle-events	1	完整		完整
live-api-key-rotation	1	完整		完整
live-model-eligibility-filter	1	完整		完整
local-address-detection	1	完整		完整
local-embedding	1	完整		完整
location-message-normalization	1	完整		完整
locked-concurrent-update	1	完整		完整
login-shell-env-fallback	1	完整		完整
logs-chat-protocol-schemas	1	完整		完整
logs-tail-rpc	1	完整		完整
machine-display-name-resolution	1	完整		完整
main-agent-reentry	1	完整		完整
main-module-detection	1	完整		完整
main-session-key-canonicalization	1	完整		完整
maintenance-throttling	1	完整		完整
manager-instance-cache	1	完整		完整
markdown-fence-safe-split	1	完整		完整
markdown-table-render-policy	1	完整		完整
mdns-widearea-advertising	1	完整		完整
media-source-hardening	1	完整		完整
media-url-merge-and-dedup	1	完整		完整
memory	1	完整		完整
memory-backend-config	1	完整		完整
memory-backend-failover	1	完整		完整
memory-backend-warmup	1	完整		完整
memory-batch-backward-compatibility	1	完整		完整
memory-config	1	完整		完整
memory-config-contract	1	完整		完整
memory-contract	1	部分	docs/backend-trace/files/src/memory/manager.ts.md	完整
memory-core-utils	1	完整		完整
memory-db-schema	1	完整		完整
memory-get-tooling	1	完整		完整
memory-public-api	1	部分	docs/backend-trace/files/src/memory/search-manager.ts.md	完整
memory-search-tooling	1	完整		完整
memory-slot-selection	1	完整		完整
memory-status-format	1	完整		完整
memory-sync	1	完整		完整
mention-trigger-gating	1	完整		完整
message-action-execution-dispatch	1	完整		完整
message-action-name-contract	1	完整		完整
message-action-target-contract	1	完整		完整
message-action-target-normalization	1	完整		完整
message-dedup-normalization	1	完整		完整
message-link-resolution	1	完整		完整
message-prefix-resolution	1	完整		完整
message-queueing	1	完整		完整
message-timestamp-injection	1	完整		完整
message-tool-orchestration-core	1	完整		完整
messages-and-commands-config-contract	1	完整		完整
messaging-dedupe	1	完整		完整
messaging-target-normalization	1	完整		完整
messaging-tool-detection	1	完整		完整
metadata-extension-parsing	1	完整		完整
minimax-usage-fetcher	1	完整		完整
minimax-vlm-adapter	1	完整		完整
mode-aware-prompt-shaping	1	完整		完整
model-alias-display	1	完整		完整
model-alias-normalization	1	完整		完整
model-alias-resolution	1	完整		完整
model-allowlist	1	完整		完整
model-capability-scan	1	完整		完整
model-catalog-loading	1	完整		完整
model-catalog-runtime	1	完整		完整
model-compatibility	1	完整		完整
model-definition-adapter	1	完整		完整
model-discovery-cache	1	完整		完整
model-fallback-chain	1	完整		完整
model-resolution	1	完整		完整
model-routing	1	完整		完整
model-window-resolution	1	完整		完整
models-config-contract	1	完整		完整
models-json-materialization	1	完整		完整
models-list-rpc	1	完整		完整
modular-config-include-resolution	1	完整		完整
module-api-boundary	1	完整		完整
module-backward-compat	1	完整		完整
module-facade	1	完整		完整
msteams-config-contract	1	完整		完整
multi-account-channel-state	1	完整		完整
multi-agent	1	完整		完整
multi-agent-config-contract	1	完整		完整
multi-agent-state-isolation	1	完整		完整
multi-bind-loopback	1	完整		完整
multi-channel-payload-delivery	1	完整		完整
multi-cli-backend	1	完整		完整
multi-installer-support	1	完整		完整
multi-provider-auto-discovery	1	完整		完整
multi-provider-search-routing	1	完整		完整
multi-provider-usage-aggregation	1	完整		完整
multi-source-credential-fallback	1	完整		完整
multimodal-payload-guard	1	完整		完整
native-command-toggle-policy	1	完整		完整
native-image-injection	1	完整		完整
nested-agent-step	1	完整		完整
next-run-recompute	1	完整		完整
node-bin-probe-cache	1	完整		完整
node-browser-proxy-routing	1	完整		完整
node-browser-proxy-rpc	1	完整		完整
node-canvas-control	1	完整		完整
node-command-allowlist-policy	1	完整		完整
node-event-contract	1	完整		完整
node-event-ingress	1	完整		完整
node-event-routing	1	完整		完整
node-execution	1	完整		完整
node-host-config-contract	1	完整		完整
node-invoke-policy-gate	1	完整		完整
node-invoke-rpc-bridge	1	完整		完整
node-pairing-workflow	1	完整		完整
node-platform-detection	1	完整		完整
node-session-registry	1	完整		完整
node-session-subscription	1	完整		完整
node-shell-command-adapter	1	完整		完整
node-system-run	1	完整		完整
node-target-resolution	1	完整		完整
node-targeted-broadcast	1	完整		完整
nodes	1	完整		完整
nodes-method-common-helpers	1	完整		完整
nodes-protocol-schemas	1	完整		完整
nodes-rpc-runtime	1	完整		完整
nodes-tool-runtime	1	完整		完整
oauth-auto-refresh	1	完整		完整
oauth-expiry-monitor	1	完整		完整
oauth-id-repair	1	完整		完整
oauth-pkce-flow	1	完整		完整
oauth-profile-repair-guidance	1	完整		完整
oauth-refresh-adapter	1	完整		完整
oauth-to-web-fallback	1	完整		完整
observability	1	完整		完整
onboarding-common-helpers	1	完整		完整
openai-chat-completions-compat	1	完整		完整
openai-compatible-endpoint	1	完整		完整
openai-embedding-batch-execution	1	完整		完整
